date,group,category,Observations,(sum) rej_count,(sum) appl_count,Applied_Accepted,Applied_Rejected,Discouraged,Appliedforoneormoretypesofcredit,Rejectedfromoneormoresourcesofcredit_givenapplied,Likelyapplytooneormoresourcesofcredit_Cat_Contin,AppliedforCreditCard,AppliedforMortage_Home-BasedLoan,AppliedforAutoLoan,RequestedIncreaseinCreditCardLimit,RequestedMortgageRefi,LikelyApplyforCreditCard_Categ_Contin,LikelyApplyforMortage_Home-BasedLoan_Categ_Contin,LikelyApplyforAutoLoan_Categ_Contin,LikelyRequestIncreaseinCreditCardLimit_Categ_Contin,LikelyRequestMortgageRefi_Categ_Contin,Closedatleastoneacctvoluntarily,Lenderclosedatleastoneacct,ChanceNeed,ChanceComeUp
201402,credit_score,less_680,163,67.46958222257226,160.63596424985872,31.983720779418945,30.417724609375,23.153804779052734,62.40144729614258,48.74522399902344,24.85373306274414,43.87528610229492,2.0621867179870605,19.71729850769043,17.749195098876953,20.078432083129883,13.304295539855957,5.140944957733154,7.976788520812988,10.167242050170898,6.79999303817749,15.396843910217285,8.105672836303711,,
201402,credit_score,between_680_760,396,30.627403793356926,336.69640348319183,47.38988494873047,6.713679313659668,3.646120309829712,54.10356521606445,12.408940315246582,39.64414978027344,35.21018600463867,9.142274856567383,18.651350021362305,10.606164932250977,13.918585777282715,12.517070770263672,6.0077691078186035,8.114919662475586,4.778827667236328,6.097740650177002,21.230165481567383,1.3211827278137207,,
201402,credit_score,over_760,353,13.501748638505603,248.52784198590848,47.79436111450195,2.8178019523620605,0.8582643866539001,50.61216354370117,5.567440032958984,25.790184020996094,24.41086769104004,8.758626937866211,19.27124786376953,7.924879550933838,13.969646453857422,10.322147369384766,8.021698951721191,7.6150431632995605,3.5606846809387207,4.7927069664001465,18.110654830932617,1.8639576435089111,,
201406,credit_score,less_680,208,95.02156149730793,220.5833705548595,33.80950927734375,29.11931610107422,15.195173263549805,62.92882537841797,46.273414611816406,27.430126190185547,45.69001007080078,7.091919898986816,17.386011123657227,24.767080307006836,16.22149085998535,7.472768306732178,7.184946537017822,8.334480285644531,5.834277629852295,12.234845161437988,17.28567886352539,11.396553039550781,,
201406,credit_score,between_680_760,391,17.372603009228527,282.62946722999334,49.761959075927734,3.8833134174346924,4.685929775238037,53.64527130126953,7.238873481750488,37.039878845214844,29.776992797851562,8.067047119140625,16.135677337646484,10.749163627624512,9.808721542358398,7.6693243980407715,9.174921035766602,9.88241195678711,5.371243953704834,13.456717491149902,21.13868522644043,2.602076292037964,,
201406,credit_score,over_760,380,10.220920515675123,225.13404993895213,44.14513397216797,2.2347192764282227,0.4154643416404724,46.379852294921875,4.818297386169434,22.9786376953125,20.56827163696289,10.556794166564941,14.188090324401855,5.284287452697754,13.33232307434082,8.465136528015137,7.740822792053223,14.438019752502441,2.0823495388031006,4.818292617797852,15.722530364990234,2.3588321208953857,,
201410,credit_score,less_680,211,76.1327757182374,167.0458261917756,27.281932830810547,25.848512649536133,19.491497039794922,53.13044738769531,48.65103530883789,38.4058837890625,34.382625579833984,4.195840358734131,18.727773666381836,12.243579864501953,12.14963436126709,9.404641151428223,3.6130733489990234,9.566774368286133,6.717991828918457,12.246439933776855,14.660017967224121,11.575547218322754,,
201410,credit_score,between_680_760,387,27.50575633170562,268.88640627646197,41.52595901489258,6.0011749267578125,2.345305919647217,47.52713394165039,12.626839637756348,38.7728157043457,27.91624641418457,6.8384246826171875,13.752657890319824,13.894701957702637,8.49168586730957,9.225064277648926,7.410364627838135,9.246932029724121,4.202884197235107,7.174354076385498,17.94463539123535,1.5680551528930664,,
201410,credit_score,over_760,408,11.447637040513202,254.20894736060274,42.950775146484375,2.8007876873016357,0.3827235996723175,45.751564025878906,6.121730804443359,29.407913208007812,27.908977508544922,7.022451400756836,15.859621047973633,5.477951526641846,7.061889171600342,6.356176853179932,4.489199161529541,9.094766616821289,1.7313889265060425,3.8010377883911133,18.765602111816406,3.5993502140045166,,
201502,credit_score,less_680,210,93.79747690433943,206.83482063971252,26.647945404052734,29.56743621826172,17.455808639526367,56.21538162231445,52.596702575683594,35.42924118041992,38.608360290527344,5.86099100112915,22.183320999145508,23.824241638183594,9.029194831848145,15.215597152709961,9.021316528320312,12.162979125976562,9.783219337463379,21.217166900634766,18.653228759765625,8.524161338806152,,
201502,credit_score,between_680_760,363,22.262575898530915,280.46155978064405,43.32572555541992,5.415117263793945,3.3393821716308594,48.7408447265625,11.110018730163574,30.196674346923828,28.121538162231445,9.830695152282715,16.979583740234375,13.89627742767334,6.047805309295654,12.066580772399902,8.409581184387207,13.995783805847168,6.424925327301025,13.658405303955078,18.218965530395508,1.9548087120056152,,
201502,credit_score,over_760,418,5.767586570962505,246.82253162208124,43.693355560302734,0.9998124837875366,1.0740034580230713,44.69316864013672,2.2370588779449463,25.980993270874023,23.51067543029785,7.461691379547119,16.075563430786133,6.157104969024658,7.552920818328857,10.980941772460938,9.123178482055664,11.400123596191406,3.898709297180176,9.179488182067871,15.806914329528809,1.258371353149414,,
201506,credit_score,less_680,201,54.56463087789125,181.54181017733626,38.458492279052734,19.299152374267578,17.329233169555664,57.75764465332031,33.414024353027344,33.189208984375,38.643157958984375,7.591161727905273,18.406526565551758,23.36839485168457,7.931224822998047,16.944814682006836,11.13550853729248,15.792560577392578,15.9821138381958,18.6959285736084,11.312767028808594,12.788985252380371,,
