Model,Accuracy,Precision,Recall,F1-Score
k-NN,0.6866041896361632,0.6164700133644028,0.6866041896361632,0.617339290780992
Random Forest,0.7666758544652701,0.7473380491340567,0.7666758544652701,0.7061682581396495
